Rat,Day,Shank,Id,Region,Type,SessID,NREM,REM,WAKE_HOMECAGE
8,1,4,2,Hpc,Pyr,0,-0.3297097,0.4737869,
8,1,4,3,Hpc,Pyr,1,-0.51510894,0.52511245,
8,1,4,4,Hpc,Int,2,-0.83676976,-0.22068301,
8,1,4,5,Hpc,Pyr,3,0.07461506,0.3809436,
8,1,4,6,Hpc,Pyr,4,-0.83440983,0.211186,
8,1,4,7,Hpc,Pyr,5,0.3185401,0.78124154,
8,1,4,8,Hpc,Pyr,6,-0.35018548,0.008740395,
8,1,4,9,Hpc,Pyr,7,0.4610067,0.52380985,
8,1,4,10,Hpc,Pyr,8,0.49968016,0.29774043,
8,1,5,2,CeCM,Pyr,9,1.1235278,1.1029315,
8,1,5,3,CeCM,Int,10,-0.13283183,0.36268598,
8,1,5,4,CeCM,Pyr,11,0.55675125,-1.3667693,
8,1,5,5,CeCM,Pyr,12,0.19483994,-0.69186395,
8,1,5,6,CeCM,Pyr,13,0.7579399,-0.21238048,
8,1,5,7,CeCM,Int,14,-0.20951921,0.2617486,
8,1,5,8,CeCM,Pyr,15,0.15835078,0.4170062,
8,1,5,9,CeCM,Pyr,16,-0.4273737,-0.72567785,
8,1,5,10,CeCM,Pyr,17,-1.4901161e-08,-0.13994247,
8,1,5,11,CeCM,Pyr,18,0.2583319,-0.1529416,
8,1,5,12,CeCM,Int,19,0.85480225,0.5569422,
8,1,5,13,CeCM,Pyr,20,-1.3557326,1.1780622,
8,1,5,14,CeCM,Pyr,21,0.3483093,0.32072344,
8,1,5,15,CeCM,Pyr,22,-0.24979198,2.433782,
8,1,5,16,CeCM,Int,23,0.031228058,0.05179894,
8,1,5,17,CeCM,Int,24,-0.22754118,0.21613944,
8,1,5,18,CeCM,Pyr,25,-0.12446056,-0.011789054,
8,1,6,2,CeCM,Pyr,26,0.40423018,-1.8626451e-08,
8,1,6,3,CeCM,Pyr,27,-2.9802322e-08,-0.57298887,
8,1,6,4,CeCM,Pyr,28,0.14186348,-0.4990815,
8,1,6,5,CeCM,Pyr,29,0.098226056,-0.14249207,
8,1,6,6,CeCM,Pyr,30,0.33523235,-0.19792378,
8,1,6,7,CeCM,Pyr,31,0.88081473,-0.80887234,
8,1,6,8,CeCM,Int,32,0.2688161,0.1823983,
8,1,6,9,CeCM,Pyr,33,0.090606764,-0.17568408,
8,1,6,10,CeCM,Pyr,34,0.54388523,0.036834642,
8,1,6,11,CeCM,Int,35,-0.33758312,0.5357044,
8,1,6,12,CeCM,Pyr,36,-0.4054221,-1.1082629,
8,1,6,13,CeCM,Pyr,37,0.7245012,-0.034873262,
8,1,6,14,CeCM,Pyr,38,-0.1695509,1.0015609,
8,1,7,2,BLA,Pyr,39,0.12700632,0.03577003,
8,1,7,3,BLA,Pyr,40,0.030673355,1.2944305,
8,1,7,4,BLA,Pyr,41,0.15463293,0.04997617,
8,1,7,5,BLA,Pyr,42,-0.60284334,0.39707738,
8,1,7,6,BLA,Pyr,43,0.1905931,-0.090137854,
8,1,7,7,BLA,Pyr,44,0.37438688,-0.11527279,
8,1,7,8,BLA,Pyr,45,0.3348911,-0.15348211,
8,1,7,9,BLA,Pyr,46,0.78527,0.10496786,
8,1,7,10,BLA,Pyr,47,0.32893282,-0.6530408,
8,1,7,11,BLA,Pyr,48,-0.5434944,0.8638539,
8,1,7,12,BLA,Pyr,49,-0.6975241,-0.11759561,
