Rat,Day,Shank,Id,Region,Type,SessID,pInc,pDec,surprise
8,1,4,2,Hpc,Pyr,0,0.0,1.0,36.04365338911715
8,1,4,3,Hpc,Pyr,1,0.9569153429432324,0.046128510203602,-3.032283725225496
8,1,4,4,Hpc,Int,2,0.9999999549592724,5.7857774530315286e-08,-16.665277952268372
8,1,4,5,Hpc,Pyr,3,1.0,1.940249522012074e-151,-36.04365338911715
8,1,4,6,Hpc,Pyr,4,0.9999992389715644,9.582304370433007e-07,-13.85817678692897
8,1,4,7,Hpc,Pyr,5,1.0,9.551178618472731e-91,-36.04365338911715
8,1,4,8,Hpc,Pyr,6,0.0,1.0,36.04365338911715
8,1,4,9,Hpc,Pyr,7,0.9999999999919268,8.703509886171513e-12,-25.46726922467542
8,1,4,10,Hpc,Pyr,8,9.572665837787042e-07,0.9999990853848728,13.85918300749491
8,1,5,2,CeCM,Pyr,9,0.109901929599949,0.8955233894010758,2.0978199209424035
8,1,5,3,CeCM,Int,10,0.0,1.0,36.04365338911715
8,1,5,4,CeCM,Pyr,11,0.9999999081647774,1.0301845095683881e-07,-16.088357635265723
8,1,5,5,CeCM,Pyr,12,7.651768108019041e-12,0.9999999999940892,25.59605535124771
8,1,5,6,CeCM,Pyr,13,1.0,3.647304663028493e-18,-36.02736083657774
8,1,5,7,CeCM,Int,14,1.0,3.817107803133599e-102,-36.04365338911715
8,1,5,8,CeCM,Pyr,15,0.0,1.0,36.04365338911715
8,1,5,9,CeCM,Pyr,16,0.0,1.0,36.04365338911715
8,1,5,10,CeCM,Pyr,17,6.307245958847575e-08,0.9999999455235384,16.578981561278237
8,1,5,11,CeCM,Pyr,18,1.1362512527535171e-06,0.9999990589905612,13.687775147716682
8,1,5,12,CeCM,Int,19,0.0,1.0,36.04365338911715
8,1,5,13,CeCM,Pyr,20,0.0,1.0,36.04365338911715
8,1,5,14,CeCM,Pyr,21,1.0,4.530889537849644e-297,-36.04365338911715
8,1,5,15,CeCM,Pyr,22,8.047255084520089e-10,0.9999999992922116,20.940519603313792
8,1,5,16,CeCM,Int,23,0.0,1.0,36.04365338911715
8,1,5,17,CeCM,Int,24,0.0,1.0,36.04365338911715
8,1,5,18,CeCM,Pyr,25,0.0,1.0,36.04365338911715
8,1,6,2,CeCM,Pyr,26,1.0,3.4967218957615925e-24,-36.04365337336933
8,1,6,3,CeCM,Pyr,27,1.0,4.230410793577473e-57,-36.04365338911715
8,1,6,4,CeCM,Pyr,28,0.0,1.0,36.04365338911715
8,1,6,5,CeCM,Pyr,29,1.0,4.70049257928497e-41,-36.04365338911715
8,1,6,6,CeCM,Pyr,30,0.0,1.0,36.04365338911715
8,1,6,7,CeCM,Pyr,31,0.0,1.0,36.04365338911715
8,1,6,8,CeCM,Int,32,1.3143604637222415e-05,0.9999903810894568,11.239565638042874
8,1,6,9,CeCM,Pyr,33,5.55111512312579e-16,0.9999999999999994,34.790890420621785
8,1,6,10,CeCM,Pyr,34,1.0,5.322339584669157e-37,-36.04365338911715
8,1,6,11,CeCM,Int,35,0.0,1.0,36.04365338911715
8,1,6,12,CeCM,Pyr,36,1.0,7.987803638954365e-75,-36.04365338911715
8,1,6,13,CeCM,Pyr,37,1.6908696665041137e-13,0.9999999999998588,29.40705088063545
8,1,6,14,CeCM,Pyr,38,0.0,1.0,36.04365338911715
8,1,7,2,BLA,Pyr,39,0.0125021093435045,0.9891541874684724,4.370952844313626
8,1,7,3,BLA,Pyr,40,3.362865541589599e-13,0.9999999999997456,28.720152692619045
8,1,7,4,BLA,Pyr,41,0.0632585135109781,0.944874874444772,2.7038227912182635
8,1,7,5,BLA,Pyr,42,0.0,1.0,36.04365338911715
8,1,7,6,BLA,Pyr,43,0.0,1.0,36.04365338911715
8,1,7,7,BLA,Pyr,44,0.0,1.0,36.04365338911715
8,1,7,8,BLA,Pyr,45,6.910028105266974e-13,0.9999999999995666,28.000311218675115
8,1,7,9,BLA,Pyr,46,0.002480542143139,0.9980554245990814,5.99733166804922
8,1,7,10,BLA,Pyr,47,0.9999999999999905,1.4528365911800845e-14,-31.847505480869707
8,1,7,11,BLA,Pyr,48,0.0,1.0,36.04365338911715
8,1,7,12,BLA,Pyr,49,2.35468971099273e-07,0.9999998126707966,15.261686501438758
8,1,7,13,BLA,Pyr,50,0.0,1.0,36.04365338911715
8,1,7,14,BLA,Pyr,51,1.0,3.13308173215243e-55,-36.04365338911715
8,1,7,15,BLA,Pyr,52,1.0,1.6150154541405185e-111,-36.04365338911715
8,1,7,16,BLA,Pyr,53,0.0,1.0,36.04365338911715
8,1,8,2,LaDL,Pyr,54,0.0,1.0,36.04365338911715
8,1,8,3,LaDL,Pyr,55,0.0,1.0,36.04365338911715
8,1,8,4,LaDL,Pyr,56,0.0135006400674512,0.9903446925164332,4.295315960064806
8,1,8,5,LaDL,Pyr,57,2.5065205466745505e-10,0.9999999998356202,22.10695448886408
8,1,8,6,LaDL,Pyr,58,6.6083410016348765e-06,0.9999945709693986,11.927172489634486
8,1,8,7,LaDL,Pyr,59,0.0,1.0,36.04365338911715
8,1,8,8,LaDL,Pyr,60,0.0,1.0,36.04365338911715
8,1,8,9,LaDL,Pyr,61,0.0,1.0,36.04365338911715
8,1,8,10,LaDL,Int,62,0.0,1.0,36.04365338911715
8,1,8,11,LaDL,Int,63,0.0,1.0,36.04365338911715
8,1,9,2,LaDL,Pyr,64,0.9999999999999944,7.585377323590275e-15,-32.48370158433533
8,1,9,3,LaDL,Pyr,65,0.0,1.0,36.04365338911715
8,1,9,4,LaDL,Pyr,66,0.0001761817478954,0.9998474567041912,8.64384188232118
8,1,9,5,LaDL,Pyr,67,0.7763368728595585,0.238586530864865,-1.1798544831142004
8,1,9,6,LaDL,Pyr,68,0.9999134780761816,9.86916585969728e-05,-9.223423602122242
8,1,9,7,LaDL,Pyr,69,0.9999994469763246,6.445765260816722e-07,-14.254671731115405
8,1,9,8,LaDL,Pyr,70,0.0,1.0,36.04365338911715
8,1,9,9,LaDL,Pyr,71,1.0,5.793656348297283e-47,-36.04365338911715
8,1,9,10,LaDL,Pyr,72,0.0,1.0,36.04365338911715
8,1,9,11,LaDL,Pyr,73,0.0,1.0,36.04365338911715
8,1,10,2,DEn,Pyr,74,0.9964918480836952,0.0043718542700189,-5.429053721878938
8,1,10,3,DEn,Pyr,75,0.0003161548015004,0.9997184177225475,8.058996964232502
8,1,10,4,DEn,Pyr,76,0.0,1.0,36.04365338911715
8,1,10,5,DEn,Pyr,77,0.0190316018559235,0.9820449689401822,3.943536247460431
8,1,10,6,DEn,Pyr,78,0.0,1.0,36.04365338911715
8,1,10,7,DEn,Pyr,79,5.06039654624147e-13,0.9999999999996776,28.311722667168347
8,1,10,8,DEn,Pyr,80,0.999997104599384,3.371672282244178e-06,-12.600098815023625
8,1,10,9,DEn,Int,81,2.783329122735268e-13,0.999999999999742,28.90916102331042
8,1,10,10,DEn,Int,82,1.0,1.05401633447537e-83,-36.04365338911715
8,1,10,11,DEn,Pyr,83,1.0,5.0263790744034844e-48,-36.04365338911715
8,1,10,12,DEn,Pyr,84,1.0,0.0,-36.04365338911715
8,1,10,13,DEn,Pyr,85,1.0,0.0,-36.04365338911715
8,1,10,14,DEn,Pyr,86,0.999999999999966,4.239442581659516e-14,-30.786535586744147
8,1,11,2,DEn,Pyr,87,0.999999999069131,1.348689271313695e-09,-20.42413246070444
8,1,11,3,DEn,Pyr,88,1.0,4.234270375350856e-42,-36.04365338911715
8,1,11,4,DEn,Int,89,0.0,1.0,36.04365338911715
8,1,11,5,DEn,Pyr,90,0.999999999999986,1.8455963573908762e-14,-31.61142959633729
8,1,11,6,DEn,Pyr,91,0.9999964037382366,4.426262950521557e-06,-12.327951311361154
8,1,11,7,DEn,Pyr,92,1.0,4.806064997397008e-138,-36.04365338911715
8,1,11,8,DEn,Pyr,93,1.0,0.0,-36.04365338911715
8,1,11,9,DEn,Pyr,94,2.222204865509613e-05,0.9999803536913372,10.714405932791989
8,1,11,10,DEn,Pyr,95,0.9999333643276062,7.441393485218771e-05,-9.505800699367004
8,1,11,11,DEn,Pyr,96,0.0,1.0,36.04365338911715
8,1,11,12,DEn,Pyr,97,1.0,0.0,-36.04365338911715
8,1,12,2,Pir,Pyr,98,0.9999999999916008,1.1347539030261547e-11,-25.202000653577773
8,1,12,3,Pir,Int,99,1.0,0.0,-36.04365338911715
8,1,12,4,Pir,Pyr,100,0.9999999951569368,6.883543348715048e-09,-18.79413225886334
8,1,12,5,Pir,Int,101,1.0,0.0,-36.04365338911715
8,1,13,2,CeCM,Pyr,102,0.0072827903426988,0.9934217969861237,4.915641266630065
8,1,13,3,CeCM,Int,103,0.0605685283624412,0.9433037324196304,2.7456128981948065
8,1,13,4,CeCM,Pyr,104,5.5277544769749554e-05,0.9999520100298884,9.803095802805656
8,1,13,5,CeCM,Pyr,105,0.6466020868003564,0.3664008781689772,-0.5680030630832058
8,1,13,6,CeCM,Int,106,4.99300436551664e-08,0.9999999623780584,16.812642896037833
