Rat,Day,Shank,Id,Region,Type,SessID,NREM,REM,WAKE_HOMECAGE,SLEEP,tot_spikes
8,1,4,2,Hpc,Pyr,0,0.8733333333333333,1.995635910224439,0.6045551995205054,1.038426265590609,18862
8,1,4,3,Hpc,Pyr,1,0.7254838709677419,0.6589775561097256,0.7492104474515319,0.7157006603081438,17550
8,1,4,4,Hpc,Int,2,0.3987096774193548,0.3048628428927681,0.3349547015837156,0.3849046221570066,7787
8,1,4,5,Hpc,Pyr,3,1.1180645161290323,0.5174563591022444,1.2782682864980752,1.0297138664710197,25491
8,1,4,6,Hpc,Pyr,4,0.3844086021505376,0.314214463840399,0.5869199382189539,0.3740829053558327,11132
8,1,4,7,Hpc,Pyr,5,3.65494623655914,2.6496259351620948,3.0606975725581504,3.507061628760088,80059
8,1,4,8,Hpc,Pyr,6,4.013118279569892,4.908354114713217,4.586551096152516,4.144809244314013,103801
8,1,4,9,Hpc,Pyr,7,6.269139784946237,5.675187032418953,6.215334608912147,6.181768158473955,138052
8,1,4,10,Hpc,Pyr,8,8.126021505376345,8.25498753117207,3.4076396413010905,8.144992663242848,131669
8,1,5,2,CeCM,Pyr,9,0.7998924731182796,0.8192019950124688,0.0541736785080338,0.8027329420396185,9439
8,1,5,3,CeCM,Int,10,1.7009677419354838,3.092269326683292,1.4148551142257777,1.9056309611151871,47131
8,1,5,4,CeCM,Pyr,11,1.6558064516129032,1.480673316708229,0.2610710251504184,1.63004402054292,29155
8,1,5,5,CeCM,Pyr,12,0.4193548387096774,0.5486284289276808,0.0499089421148482,0.4383712399119589,5382
8,1,5,6,CeCM,Pyr,13,0.3587096774193548,0.213216957605985,0.0101431568270361,0.3373074101247248,3853
8,1,5,7,CeCM,Int,14,0.4755913978494623,0.128428927680798,0.6836257175130824,0.424523110785033,11053
8,1,5,8,CeCM,Pyr,15,0.458494623655914,1.1109725685785536,0.0082989464948477,0.5544754218635363,6353
8,1,5,9,CeCM,Pyr,16,0.6517204301075269,0.956359102244389,0.0915189377348486,0.6965333822450477,8961
8,1,5,10,CeCM,Pyr,17,0.8746236559139785,1.0567331670822944,0.1278268286498075,0.9014123257520176,11255
8,1,5,11,CeCM,Pyr,18,0.4212903225806451,0.5174563591022444,0.1252910394430484,0.4354365370506236,6369
8,1,5,12,CeCM,Int,19,2.931290322580645,3.508728179551122,3.674358560593836,3.016232575201761,89461
8,1,5,13,CeCM,Pyr,20,1.3548387096774193,5.279301745635911,9.183591138569357,1.9321349963316208,153183
8,1,5,14,CeCM,Pyr,21,4.736881720430108,3.144638403990025,13.52382489222896,4.502659574468085,177029
8,1,5,15,CeCM,Pyr,22,1.5126881720430108,1.6452618453865338,2.577860254962079,1.5321900220102715,40566
8,1,5,16,CeCM,Int,23,2.1354838709677417,3.1452618453865338,0.2971483897738537,2.284024211298606,51517
8,1,5,17,CeCM,Int,24,0.7083870967741935,1.2992518703241895,1.0122409460799004,0.7953044754218636,17702
8,1,5,18,CeCM,Pyr,25,1.7306451612903226,2.7849127182044886,0.7044883468959635,1.885730007336757,43028
8,1,6,2,CeCM,Pyr,26,0.316989247311828,0.1751870324189526,0.0957836741280343,0.296129860601614,4679
8,1,6,3,CeCM,Pyr,27,0.775483870967742,0.449501246882793,0.9203762189077666,0.7275311812179017,18103
8,1,6,4,CeCM,Pyr,28,0.2098924731182795,0.3622194513715711,0.0879457802162336,0.2323000733675715,3877
8,1,6,5,CeCM,Pyr,29,0.3213978494623656,0.1633416458852868,0.1282878812328546,0.2981474688187821,4637
8,1,6,6,CeCM,Pyr,30,1.1709677419354838,1.734413965087282,0.5076188939348533,1.2538517975055026,19814
8,1,6,7,CeCM,Pyr,31,0.6372043010752688,1.1614713216957606,0.1258673551718573,0.7143250183418929,10365
8,1,6,8,CeCM,Int,32,0.1179569892473118,0.1608478802992518,0.1330136702090873,0.1242663242846661,3115
8,1,6,9,CeCM,Pyr,33,3.894086021505376,4.337281795511222,4.266004287789023,3.959280997798973,103792
8,1,6,10,CeCM,Pyr,34,0.7921505376344086,0.4738154613466334,0.220959450425321,0.7453228173147469,10567
8,1,6,11,CeCM,Int,35,0.6747311827956989,0.9432668329177056,0.8539846469489846,0.7142333088774762,17417
8,1,6,12,CeCM,Pyr,36,1.1076344086021506,0.6016209476309227,1.7050877152539248,1.0331988261188554,44288
8,1,6,13,CeCM,Pyr,37,1.0731182795698924,1.2998753117206985,0.4027294312916388,1.106474688187821,18243
8,1,6,14,CeCM,Pyr,38,4.873225806451613,7.677680798004988,7.1976071370939865,5.285766691122524,169722
8,1,7,2,BLA,Pyr,39,0.2297849462365591,0.2605985037406483,0.227068397150695,0.2343176815847395,7348
8,1,7,3,BLA,Pyr,40,0.4075268817204301,0.5336658354114713,0.1651720878766223,0.4260821716801173,7955
8,1,7,4,BLA,Pyr,41,0.1369892473118279,0.1508728179551122,0.007607367620277,0.1390315480557593,1679
8,1,7,5,BLA,Pyr,42,0.2664516129032258,0.7699501246882793,0.1763526130155144,0.3405172413793103,7515
8,1,7,6,BLA,Pyr,43,0.1478494623655914,0.3547381546134663,0.0176352613015514,0.1782831988261188,2244
8,1,7,7,BLA,Pyr,44,0.4388172043010753,0.8802992518703242,0.8876414855114226,0.5037600880410859,15545
8,1,7,8,BLA,Pyr,45,0.1278494623655914,0.1970074812967581,0.0447221005555683,0.1380227439471753,2150
8,1,7,9,BLA,Pyr,46,0.0976344086021505,0.1172069825436409,0.0028815786440443,0.1005135730007336,1146
8,1,7,10,BLA,Pyr,47,0.3198924731182795,0.2044887780548628,0.3228520712787294,0.3029163609684519,6540
8,1,7,11,BLA,Pyr,48,0.4072043010752688,1.5162094763092269,0.7427557112888725,0.5703411592076302,17540
8,1,7,12,BLA,Pyr,49,0.3217204301075269,0.3952618453865336,0.390396274695129,0.332538517975055,8309
8,1,7,13,BLA,Pyr,50,1.5110752688172042,2.7194513715710724,1.525853523594366,1.6888297872340423,40802
8,1,7,14,BLA,Pyr,51,0.3856989247311828,0.1658354114713217,0.2080499781000023,0.3533565663976522,18414
8,1,7,15,BLA,Pyr,52,0.4288172043010753,0.098503740648379,0.2646441826690334,0.3802274394717534,21915
8,1,7,16,BLA,Pyr,53,0.1441935483870967,0.3372817955112219,0.0327347333963438,0.1725972120322817,3214
8,1,8,2,LaDL,Pyr,54,0.0802150537634408,0.2107231920199501,0.0101431568270361,0.0994130594277329,1325
8,1,8,3,LaDL,Pyr,55,0.2448387096774193,0.5847880299251871,0.2850457594688674,0.2948459280997799,7297
8,1,8,4,LaDL,Pyr,56,0.0365591397849462,0.0461346633416458,0.0260494709421609,0.0379677182685253,716
8,1,8,5,LaDL,Pyr,57,0.1248387096774193,0.183291770573566,0.0854099910094746,0.1334372707263389,3084
8,1,8,6,LaDL,Pyr,58,0.3402150537634408,0.3771820448877805,0.2189999769473708,0.3456529713866471,6465
8,1,8,7,LaDL,Pyr,59,0.3094623655913978,0.7817955112219451,0.3014131261670393,0.3789435069699193,8067
8,1,8,8,LaDL,Pyr,60,0.1668817204301075,0.2605985037406483,0.0578620991724106,0.1806676449009537,3636
8,1,8,9,LaDL,Pyr,61,6.30516129032258,8.446384039900249,4.546093731990134,6.620139398385914,135986
8,1,8,10,LaDL,Int,62,3.3521505376344085,4.114089775561097,4.293897969063372,3.464233308877476,94390
8,1,8,11,LaDL,Int,63,0.8975268817204302,1.2394014962593516,0.7842504437631113,0.947817314746882,21353
8,1,9,2,LaDL,Pyr,64,0.5981720430107527,0.4451371571072319,0.5051983678738561,0.5756603081438004,11762
